0.000 0 [WARN] Invalid argument "\"
c 
c Mallob -- a parallel and distributed platform for job scheduling, load balancing, and SAT solving
c Copyright (C) 2019-2025 Dominik Schreiber, Karlsruhe Institute of Technology, Germany
c 
c 0.001 0 Program options: -0o=0 -J=0 -SJ=0 -T=300 -adc=0 -aim=1 -ajpc=0 -ans=0 -apidir=.api -ba=4 -bem=1 -bicg=4 -br=0 -c=1 -cbbs=0 -cblm=1 -cblp=100000 -cdel=2 -cecpm=0 -cf=0 -cfci=10 -cfm=3 -cg=1 -ch=0 -checksums=0 -cjc=0 -client-app-threads=1 -cm=0 -cmp=0 -colors=0 -compact-proof=0 -cpshm=0 -csm=3 -cusv=1 -dc=0 -decay-distr=1 -decay-max=200 -decay-mean=50 -decay-min=1 -decay-stddev=3 -decpm=0 -delaymonkey=0 -div-elim=0 -div-fanout=0 -div-init-shuffle=0 -div-native=1 -div-noise=0 -div-phases=1 -div-reduce=0 -div-seeds=1 -dpa=1 -ds=0 -evpt=350 -evu=0 -extmem-disk-dir=.disk -fapii=0 -fcll=1 -g=0 -gclls=0 -h=0 -huca=0 -iff=0 -ilbd=0 -inotify=1 -interface-fs=0 -interface-ipc=0 -ipm=1 -ivdh=1 -jc=1 -jcl=0 -jcup=0.1 -jjp=0 -jwl=0 -l=1 -latencymonkey=0 -lbdpi=0 -lbdpo=0 -ljpc=32 -log=scripts/bnb/out//3/ -mbt=8388608 -mcips=5 -md=0 -mempanic=1 -mjps=0 -mlbdps=2 -mlpt=50000000 -mmpi=0 -mono=instances/bnb/main_under_300/bnb_n30_m2.cnf -mono-app=bnb -mscf=5 -nec=5 -no-import=0 -os=0 -otfc=0 -otfcm=1 -p=0.1 -pbbm=0 -plain-add-specific=0 -pph=0 -pre-cleanup=1 -prisma=0 -proof-debugging=0 -ps=0 -q=0 -qcll=8 -qlbdl=2 -randlbd=0 -reduce-delta=100 -reduce-max=980 -reduce-mean=700 -reduce-min=300 -reduce-stddev=150 -rlbd=3 -rpa=0 -rs=1 -rspaa=0 -s=0.5 -satsolver=C -scll=60 -scramble-lbds=0 -scsd=0 -seed=0 -sjd=0 -slbdl=60 -sleep=100 -spl=-1 -sswl=0 -t=1 -tmp=scripts/bnb/out//3/tmp/ -trace-dir=scripts/bnb/out//3/ -uninvert-proof=1 -v=2 -w=-1 -wam=10000 -warmup=0 -watchdog=1 -y=1 -yield=0 
c 0.001 0 Cleaning up pre-execution
c 0.001 0 Killing old subprocesses: "killall -9 build/mallob_sat_process 2>/dev/null"
c 0.008 0 Killing old subprocesses: "killall -9 build/impcheck_parse 2>/dev/null"
c 0.010 0 Killing old subprocesses: "killall -9 build/impcheck_check 2>/dev/null"
c 0.012 0 Killing old subprocesses: "killall -9 build/impcheck_confirm 2>/dev/null"
c 0.020 0 [WARN] Num bounce alternatives must be at most half the number of workers!
c 0.020 0 [WARN] Falling back to safe value r=1.
c 0.020 0 Set up API connector
c 0.020 0 Machine color 0 with 1 total workers (my rank: 0)
c 0.020 0 Assuming application "BNB" for mono job
c 0.021 0 Introducing job #1 rev. 0 : r.#1:0 rev. 0 <- [0] born=0.021 hops=0 epoch=-1 matchId=-1 => [0]
c 0.022 0 [bou] Initiliased to {lower, upper, best} = {10, -1, -1}.
c 0.022 0 [start] Beginning: (Completion: 0) (Nr Tasks: 30) (Nr Machines: 2) (Tasks: 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5) (Machine Workloads: 0 0) (Machines: 0 0)
c 0.022 0 Start waiting for other threads: 0
c 0.102 0 [msg] Messages allowed starting now
c 0.102 0 End waiting: 1
c 0.102 0 [queue] In loop. Jobs left: 1
c 0.102 0 [queue] In loop. Jobs left: 936
c 0.103 0 [queue] In loop. Jobs left: 1804
c 0.104 0 [queue] In loop. Jobs left: 2804
c 0.105 0 [queue] In loop. Jobs left: 3794
c 0.105 0 [queue] In loop. Jobs left: 4680
c 0.106 0 [queue] In loop. Jobs left: 5535
c 0.107 0 [queue] In loop. Jobs left: 6389
c 0.108 0 [queue] In loop. Jobs left: 7375
c 0.108 0 [queue] In loop. Jobs left: 8375
c 0.109 0 [queue] In loop. Jobs left: 9375
c 0.110 0 [queue] In loop. Jobs left: 10375
c 0.111 0 [queue] In loop. Jobs left: 11375
c 0.111 0 [queue] In loop. Jobs left: 12375
c 0.112 0 [queue] In loop. Jobs left: 13369
c 0.113 0 [queue] In loop. Jobs left: 14313
c 0.114 0 [queue] In loop. Jobs left: 15236
c 0.115 0 [queue] In loop. Jobs left: 16100
c 0.115 0 [queue] In loop. Jobs left: 17024
c 0.116 0 [queue] In loop. Jobs left: 17887
c 0.117 0 [queue] In loop. Jobs left: 18776
c 0.118 0 [queue] In loop. Jobs left: 19657
c 0.118 0 [queue] In loop. Jobs left: 20510
c 0.119 0 [queue] In loop. Jobs left: 21374
c 0.120 0 [queue] In loop. Jobs left: 22293
c 0.121 0 [queue] In loop. Jobs left: 23156
c 0.122 0 [queue] In loop. Jobs left: 24013
c 0.122 0 [red] & [bou] Contributed {finished, lowerBound, upperBound} = {1, 10, -1} to all-reduction.
c 0.122 0 [queue] In loop. Jobs left: 24945
c 0.123 0 [queue] In loop. Jobs left: 25945
c 0.124 0 [queue] In loop. Jobs left: 26945
c 0.125 0 [queue] In loop. Jobs left: 27945
c 0.125 0 [queue] In loop. Jobs left: 28945
c 0.126 0 [queue] In loop. Jobs left: 29945
c 0.127 0 [queue] In loop. Jobs left: 30945
c 0.128 0 [queue] In loop. Jobs left: 31945
c 0.129 0 [queue] In loop. Jobs left: 32945
c 0.129 0 [queue] In loop. Jobs left: 33945
c 0.130 0 [queue] In loop. Jobs left: 34945
c 0.131 0 [queue] In loop. Jobs left: 35945
c 0.131 0 [queue] In loop. Jobs left: 36945
c 0.132 0 [red] & [bou] All-Reduction resulted in {finished, lowerBound, upperBound} = {1, 10, -1}.
c 0.132 0 [bou] Before reduction: {lower, upper, best} = {10, -1, -1}
c 0.132 0 [bou] After redution: {lower, upper, best} = {10, -1, -1}
